longitude,latitude,Years,month,day,magnitude,depth,hour,minute
-71.69,-37.97,2019,2,21,2.2,20,14,8
-71.05,-37.77,2019,2,22,3.1,2.2,20,28
-71.49,-36.03,2019,2,23,2.7,93.2,19,17
-71.06,-35.33,2019,2,27,2.7,133,5,28
-72,-35.48,2019,2,27,3,60.4,9,27
-71.38,-35.42,2019,2,28,2.7,97.6,15,39
-71.05,-35.78,2019,2,28,2.4,80,18,8
-69.89,-35.22,2019,3,1,3.5,176,15,20
-71.04,-37.77,2019,3,2,3.1,1.8,21,17
-71.41,-36.91,2019,3,4,2.8,3.9,17,40
-68.83,-38.56,2019,3,7,4.9,7,5,10
-71.98,-36.85,2019,3,7,3.1,79.4,11,55
-71.04,-35.12,2019,3,9,3.1,108.6,19,36
-70.73,-36.62,2019,3,12,2.9,9,0,22
-71.73,-38.85,2019,3,13,2,13.4,1,32
-70.48,-37.15,2019,3,16,2.8,153,16,39
-71.25,-35.01,2019,3,21,2.9,84.3,17,40
-71.41,-35.71,2019,3,22,2.4,99.9,10,29
-71.15,-35.43,2019,3,22,2.6,107.5,19,34
-71.88,-35.25,2019,3,23,3.3,45.3,4,40
-71.12,-35.28,2019,3,23,2.7,98.1,22,46
-70.37,-36.61,2019,3,27,4.2,15,20,27
-71.15,-36.15,2019,3,31,2.7,143.3,10,8
-71.41,-36.11,2019,3,31,2.7,102,21,15
-71.18,-36.41,2019,4,6,2.5,7.9,16,46
-71.19,-36.41,2019,4,7,2.8,19.7,1,5
-71.39,-36.87,2019,4,8,3.2,1.4,8,3
-71.9,-35.28,2019,4,9,2.4,65.5,0,13
-71.69,-35.08,2019,4,18,2.4,47.7,1,34
-71.43,-36.12,2019,4,19,3.2,100.7,18,44
-71.85,-35.78,2019,4,21,4.8,84.6,10,0
-71.97,-35.03,2019,4,26,2.1,49.1,6,43
-71.06,-37.81,2019,4,29,2.9,10.3,21,52
-71.74,-36.16,2019,5,4,2.4,75.6,6,3
-71.48,-39.6,2019,5,5,2.4,5.1,3,11
-71.38,-35.6,2019,5,7,4,97.2,0,50
-71.08,-35.05,2019,5,10,3.4,91.6,5,34
-71.56,-36.56,2019,5,16,2.4,8.8,13,17
-71.95,-36.95,2019,5,17,4.1,81.5,1,9
-71.41,-35.77,2019,5,17,3.2,99.8,10,36
-71.55,-36.55,2019,5,17,2.8,10,15,33
-71.27,-35.34,2019,5,23,2.8,96.2,17,33
-71.06,-35.98,2019,5,25,2.6,121.5,2,57
-70.27,-35.91,2019,5,26,2.8,192.1,20,0
-70.95,-35.31,2019,5,30,2.1,102.1,6,16
-71.09,-35.05,2019,5,31,2.7,86.2,7,12
-71.74,-35.99,2019,6,5,3.4,92.4,1,7
-71.75,-36.38,2019,6,7,2.6,81.5,3,46
-71.57,-36.54,2019,6,11,2.8,202.3,23,51
-71.86,-36.92,2019,6,14,2.9,99.4,6,49
-68.2,-35.16,2019,6,16,3,11,8,24
-71.27,-36.45,2019,6,23,3.2,130.4,5,53
-70.63,-35.18,2019,6,29,2.5,17.5,14,31
-71.12,-35.12,2019,6,29,2.6,85.7,19,23
-69.01,-38.33,2019,6,30,2.8,15,7,11
-71.1,-37.75,2019,7,7,2.5,13,5,7
-71.05,-37.74,2019,7,7,2.8,10,7,3
-70.98,-36.76,2019,7,9,4.4,170,1,7
-70.6,-36.12,2019,7,9,2.7,200.4,2,40
-71.08,-35,2019,7,9,2.6,97.3,11,45
-71.43,-35.44,2019,7,10,3.3,84.3,11,19
-71.37,-39.09,2019,7,13,2.5,156.8,14,37
-71.72,-35.21,2019,7,18,3,80.9,2,12
-70.97,-35.34,2019,7,21,2.5,101,11,27
-70.78,-35.63,2019,7,26,2.7,130.3,0,23
-71.37,-35.85,2019,7,27,2.4,103.5,1,39
-68.98,-38.61,2019,7,31,2.7,7,3,50
-69.13,-38.69,2019,8,8,2.8,4,19,15
-71.28,-35.84,2019,8,9,2.4,110.3,3,53
-71.13,-35.34,2019,8,11,2.7,181.2,14,48
-69.29,-38.53,2019,8,13,2.6,3,7,13
-69.43,-36,2019,8,14,3.6,238,12,50
-68.8,-38.53,2019,8,15,3,6,2,44
-71.13,-37.11,2019,8,16,3.3,179,3,15
-70.47,-37.04,2019,8,16,3.9,42,3,15
-69.03,-38.66,2019,8,16,2.6,3,9,45
-70.99,-38.31,2019,8,16,2.7,160.3,16,2
-71.08,-35.31,2019,8,17,4,104.2,0,9
-69.25,-36.41,2019,8,17,3,10,2,2
-68.86,-38.54,2019,8,21,2.5,4,0,45
-69.03,-38.38,2019,8,22,2.5,4,6,7
-71.39,-35.76,2019,8,26,2.5,99.5,19,31
-71.33,-35.39,2019,8,27,3.6,92.1,9,15
-70.95,-36.5,2019,8,29,3.7,145,17,58
-69.04,-38.4,2019,8,30,2.5,5,3,48
-68.88,-38.44,2019,8,30,2.7,22,5,40
-68.77,-38.52,2019,9,1,2.7,4,11,37
-70.94,-35.05,2019,9,2,3.4,103.1,7,41
-69.07,-38.68,2019,9,3,3,4,20,23
-69.23,-38.61,2019,9,6,3.3,7,3,29
-71.78,-37.15,2019,9,8,2.7,103.4,23,54
-70.15,-35,2019,9,10,3.2,153,6,18
-69.61,-38.13,2019,9,14,3.1,7,16,23
-71.56,-37.83,2019,9,17,2.9,141.8,10,15
-71.34,-36.88,2019,9,17,2.9,4.2,11,34
-69.61,-38.16,2019,9,19,3.5,7,12,29
-68.7,-38.52,2019,9,21,2.6,6,0,47
-70.35,-35.37,2019,9,24,3.2,6,5,25
-71.55,-35.32,2019,9,24,2.4,67.7,16,36
-71.53,-35.69,2019,9,25,2.5,105.4,3,20
-71.35,-36.88,2019,9,27,2.9,3.7,6,50
-71.6,-38.48,2019,9,29,3,2.2,13,6
-71.16,-37.79,2019,9,29,2.9,1.7,16,25
-71.38,-35.59,2019,10,1,2.6,89.5,17,4
-71.07,-37.83,2019,10,1,3.6,4.6,21,28
-71.12,-37.14,2019,10,3,2.7,141.9,15,6
-71.01,-35.06,2019,10,6,3.8,88.9,8,1
-71.84,-36.56,2019,10,10,2.7,84.4,19,7
-71.53,-36.98,2019,10,11,2.4,153,11,53
-68.8,-38.48,2019,10,12,3.5,11,23,22
-70.96,-35.32,2019,10,15,2.8,112.9,5,21
-71.64,-35.94,2019,10,16,2.4,89.2,5,42
-71.91,-36.17,2019,10,16,3.2,78.9,18,39
-71.61,-35.25,2019,10,18,2.3,74.5,7,56
-70.31,-35.69,2019,10,20,2.4,199.6,16,8
-71.97,-40.25,2019,10,22,3.3,128.8,12,5
-70.43,-36.66,2019,10,25,3.2,10,3,3
-71.35,-36.88,2019,10,29,3,4.1,6,27
-71.21,-35.45,2019,10,29,2.8,99.9,16,39
-69.14,-38.74,2019,11,4,3.8,3,2,52
-70.59,-36.72,2019,11,4,2.9,16,10,33
-71.47,-35.43,2019,11,6,2.7,71.9,4,51
-71.72,-36.17,2019,11,12,3.6,82.3,8,18
-68.93,-38.7,2019,11,13,3.5,5,0,50
-69.93,-35.85,2019,11,13,3,185,2,34
-71.19,-35.52,2019,11,16,2.5,64.2,21,50
-70.98,-35.61,2019,11,22,2.4,110.8,0,49
-71.49,-35.94,2019,11,26,2.7,89,14,13
-71.82,-35.55,2019,11,28,2.7,58.2,15,55
-71.44,-38.02,2019,12,7,2.5,12.9,23,45
-70.11,-35.37,2019,12,8,3.1,163,5,44
-70.87,-35.32,2019,12,10,2.5,104.6,23,4
-71.52,-35.74,2019,12,11,2.1,83.3,20,8
-71.06,-36.47,2019,12,12,3.7,138.5,9,54
-71.25,-35.67,2019,12,13,2.5,103.3,3,54
-71.8,-35.19,2019,12,15,2,42.9,12,35
-68.7,-38.25,2019,12,15,3.7,5,14,53
-68.61,-38.13,2019,12,18,3.7,3,19,0
-67.65,-35.77,2019,12,19,3.3,25,5,49
-70.91,-35.36,2019,12,20,2.6,108.9,12,6
-71.19,-36.16,2019,12,21,2.7,110.6,16,3
-71.3,-37.38,2019,12,22,3.7,134,1,56
-71.45,-35.35,2019,12,22,2.7,86,15,50
-71.2,-35.53,2019,12,25,2.5,103.4,20,15
-71.1,-35.11,2019,12,27,2.9,120,23,35
-71.48,-37.52,2019,12,29,3.7,135,17,32
-70.88,-35.34,2019,12,30,2.5,101.9,1,18
-71.26,-35.48,2020,1,3,3.1,103.8,0,36
-71.08,-35.07,2020,1,9,4.1,93.5,22,52
-71.78,-35.04,2020,1,10,2.5,45.1,15,41
-71.86,-36.14,2020,1,11,2.5,69.8,16,56
-71.38,-40.34,2020,1,13,5.3,193,2,1
-71.83,-35.82,2020,1,15,2.4,64.6,3,10
-70.38,-35.14,2020,1,15,2.4,168.3,5,18
-71.37,-35.61,2020,1,16,3.1,93.2,11,1
-71.36,-36.86,2020,1,19,3,4.1,5,9
-71.85,-40.66,2020,1,23,3.2,167,3,18
-71.37,-36.36,2020,1,24,2.7,152,8,52
-70.08,-35.45,2020,1,25,3,189,15,22
-68.23,-35.1,2020,1,26,3.5,12,20,17
-68.48,-38.18,2020,1,27,3.1,6,23,1
-71.36,-36.87,2020,1,30,3.6,2.6,6,12
-70.75,-35.57,2020,2,2,2.8,1.5,19,10
-71.07,-36.46,2020,2,4,2.8,147.3,11,10
-68.57,-38.13,2020,2,4,3.2,4,19,0
-71.38,-35.65,2020,2,4,2.7,98.9,22,33
-71.43,-35.88,2020,2,7,3,104.5,16,28
-71.59,-38.37,2020,2,9,2.7,7.8,10,14
-68.45,-38.33,2020,2,16,3.3,7,18,11
-70.63,-36.29,2020,2,22,2.8,125,7,25
-70.74,-35.6,2020,2,23,2.4,125.7,2,16
-71.2,-35.14,2020,2,28,3,95.8,7,11
-71.09,-35.08,2020,2,28,2.4,104.5,12,30
-71.35,-35.54,2020,3,1,2.4,93.5,2,30
-71.36,-36.87,2020,3,2,3.2,3.5,16,27
-70.92,-38.5,2020,3,2,3.9,176,18,21
-71.37,-35.48,2020,3,4,2.4,99.6,2,17
-71.62,-39.35,2020,3,7,3.3,139.6,6,11
-71.42,-39.1,2020,3,9,2.9,156,23,7
-70.15,-36.5,2020,3,10,2.6,44.3,14,30
-70.13,-35.14,2020,3,12,3.2,161,1,42
-70.14,-35.05,2020,3,14,2.8,152,14,55
-71.37,-36.88,2020,3,17,2.8,3.5,16,53
-70.83,-35.36,2020,3,18,2.8,126,4,35
-71.59,-35.02,2020,3,20,2.7,49.2,14,20
-71.34,-35.54,2020,3,21,3.2,105.4,1,47
-71.34,-36.9,2020,3,22,3.2,4.1,18,33
-71.23,-35.24,2020,3,22,2.6,86.9,21,2
-68.89,-38.27,2020,4,4,3,4,4,2
-71.41,-35.89,2020,4,9,3.2,105.4,4,17
-71.95,-36.26,2020,4,12,2.8,64.2,7,31
-70.53,-35.03,2020,4,13,2.7,19.9,2,24
-70.55,-35.01,2020,4,13,2.7,17.1,9,55
-71.1,-37.85,2020,4,15,2.8,4.4,12,7
-71.79,-35.96,2020,4,17,2.5,64.6,1,8
-71.3,-36.06,2020,4,19,3.9,111.5,1,29
-71.4,-36.86,2020,4,21,2.8,4,0,7
-71.1,-36.53,2020,4,22,2.6,120.4,5,56
-70.65,-35.16,2020,4,26,3,20.5,2,23
-70.22,-36.1,2020,4,27,2.8,180,13,3
-71.11,-35.24,2020,5,3,3.1,96.7,21,17
-71.91,-37.07,2020,5,4,2.4,90.5,20,49
-71.83,-36.32,2020,5,9,2.7,83.6,20,30
-71.34,-36.9,2020,5,11,2.8,4.5,12,6
-71.78,-36.16,2020,5,13,3.2,79.3,13,6
-68.47,-38.31,2020,5,13,2.8,5,17,19
-71.45,-35.63,2020,5,14,3,92.9,10,16
-71.07,-35.98,2020,5,14,2.7,135.6,17,36
-71.18,-35.12,2020,5,16,2.5,100.1,3,24
-71.18,-37.89,2020,5,20,2.8,1.5,6,58
-71.34,-35.59,2020,5,23,2.4,103,7,23
-68.99,-38.61,2020,5,26,3.1,4,14,12
-69,-38.59,2020,5,27,2.7,3,22,8
-71.88,-39.44,2020,5,29,3,8.9,10,2
-71.26,-35.52,2020,5,30,3.9,94.9,12,55
-71.16,-35.02,2020,5,30,2.8,107.3,17,57
-71.38,-36.88,2020,5,31,2.8,2.6,23,9
-68.96,-38.25,2020,6,1,3.1,3,3,47
-71.67,-36.02,2020,6,1,2.4,85.7,11,46
-69.52,-35.02,2020,6,1,3.6,193,22,4
-68.94,-38.2,2020,6,3,3.5,6,8,21
-68.6,-38.23,2020,6,5,2.9,5,6,48
-71.53,-36.15,2020,6,5,2.7,101.6,11,9
-68.5,-38.55,2020,6,6,3.8,4,7,0
-71.91,-36.64,2020,6,6,2.7,78.8,14,3
-71.6,-35.86,2020,6,7,2.5,116,1,53
-71.37,-36.86,2020,6,7,2.8,2.6,6,57
-71.46,-37.59,2020,6,8,3.9,14.4,16,46
-70.54,-36.09,2020,6,11,1.8,8.4,17,50
-70.77,-36.91,2020,6,13,3.3,178,19,19
-71.18,-35.98,2020,6,14,3.1,178.3,0,38
-70.59,-36.11,2020,6,16,2.3,1.8,5,34
-71.37,-35.52,2020,6,16,3.7,102.7,18,38
-70.9,-35.27,2020,6,17,2.6,92.7,16,49
-70.09,-35.69,2020,6,21,3.3,196,3,27
-71.88,-36.62,2020,6,22,2.5,70,16,56
-71.95,-36.87,2020,6,23,2.8,81.3,18,15
-70.47,-36.28,2020,6,24,3.3,182,7,39
-70.88,-37.67,2020,6,24,2.6,8,19,32
-71.41,-36.86,2020,6,24,3.6,3.6,23,30
-70.3,-36.1,2020,6,25,3.3,170,1,15
-68.53,-38.27,2020,6,30,3.7,4,14,46
-71.08,-37.61,2020,7,3,2.6,20,3,28
-71.71,-40.98,2020,7,3,4.2,170,4,46
-70.9,-35.27,2020,7,6,3,116.2,8,52
-69.43,-37.48,2020,7,7,3.3,4,1,4
-70.1,-35.34,2020,7,7,2.9,142,16,18
-71.89,-35.5,2020,7,8,2.7,56.2,6,1
-71.41,-36.87,2020,7,9,3.4,1.7,22,57
-70.54,-35.06,2020,7,10,2.4,20.8,8,9
-71.75,-36.29,2020,7,10,2.4,91.8,9,8
-71.14,-35.35,2020,7,10,2.7,89.9,15,6
-71.17,-35.58,2020,7,10,2.6,99.9,19,39
-71.1,-35.12,2020,7,12,2.7,101,8,57
-70.24,-35.35,2020,7,14,3,174,18,25
-71.89,-39.55,2020,7,16,2.6,12.2,6,22
-71.46,-36.29,2020,7,17,3.4,110.5,10,37
-70.88,-35.3,2020,7,22,2.5,105.2,12,46
-71.4,-36.86,2020,7,23,3.6,2.9,18,35
-71.07,-35.41,2020,7,25,2.7,112.6,14,56
-71.11,-36.64,2020,7,29,3.1,138.2,3,59
-70.42,-36.12,2020,7,29,3.3,227,6,38
-70.97,-35.32,2020,7,29,2.5,113.3,8,44
-71.97,-39.46,2020,7,29,3.1,116.3,19,46
-70.68,-39.2,2020,7,30,3.3,147,4,53
-70.92,-36.93,2020,8,2,2.7,125,10,43
-71.31,-36.83,2020,8,8,3,3.8,16,48
-70.96,-35.23,2020,8,9,2.7,111.9,0,18
-71.58,-38.38,2020,8,11,2.8,14.5,0,15
-70.89,-36.37,2020,8,12,2.8,141.2,5,38
-69.55,-35.01,2020,8,13,3.2,175,3,17
-71.88,-35.35,2020,8,14,3.1,53.2,5,48
-71.34,-36.83,2020,8,19,3.3,11.5,6,30
-71.23,-35.77,2020,8,20,2.9,108.9,23,51
-71.07,-36.9,2020,8,21,3.5,156,2,18
-70.98,-35.33,2020,8,25,2.4,111.2,9,58
-70.18,-35.11,2020,8,26,3,163,3,26
-71.16,-35,2020,8,27,2.5,87.4,19,56
-70.3,-35.35,2020,9,8,3,157,19,28
-71.4,-35.62,2020,9,10,2.6,92.4,3,34
-71.29,-35.59,2020,9,11,3,107.1,9,10
-71.11,-36.4,2020,9,12,3.2,161.9,23,5
-71.16,-36.17,2020,9,14,3,152,21,15
-71.06,-35.11,2020,9,15,2.8,102.8,12,25
-71.22,-35.48,2020,9,18,2.8,102.5,1,42
-68.58,-38.32,2020,9,23,3.1,5,19,8
-68.53,-38.31,2020,9,24,3.7,7,19,35
-70.16,-35.23,2020,9,25,2.9,157,12,39
-71.93,-37.41,2020,9,25,2.9,81.7,21,53
-71.37,-36.78,2020,9,26,2.6,123,7,34
-71.32,-35.43,2020,9,27,2.4,105.4,5,32
-70.21,-35.41,2020,9,28,2.7,166.5,15,13
-71.25,-36.88,2020,10,3,2.9,132.4,22,11
-71.57,-35.53,2020,10,6,2.5,71.3,23,54
-71.47,-35.65,2020,10,7,2.9,88.3,5,51
-71.19,-35.1,2020,10,10,2.4,85.1,12,55
-71.21,-35.02,2020,10,10,3.1,95.8,22,19
-71.26,-35.69,2020,10,11,3.9,112.7,5,58
-71.78,-35.87,2020,10,11,2.5,68.9,10,31
-69.21,-38.82,2020,10,11,3.4,9,11,10
-72,-36.23,2020,10,21,2.5,64.9,4,3
-71.39,-35.42,2020,10,23,2.6,89.9,6,0
-71.87,-37.42,2020,10,25,3.1,168.6,7,55
-68.96,-38.49,2020,10,27,4,11.2,16,32
-68.14,-35.04,2020,10,27,2.6,18,20,24
-71.41,-35.98,2020,10,29,2.8,111.1,15,34
-71.09,-35.11,2020,11,1,2.7,87.5,4,44
-70.95,-35.26,2020,11,15,2.5,113.5,16,15
-71.56,-35.97,2020,11,17,2.8,84.7,3,34
-71.56,-35.96,2020,11,17,3.2,85.9,7,19
-71.48,-36.19,2020,11,17,3.9,98.4,15,46
-70.54,-35.22,2020,11,17,3.1,4.7,23,25
-69.27,-35.21,2020,11,19,2.9,15,3,24
-69.21,-35.28,2020,11,19,3.2,13,3,51
-71.18,-35.07,2020,11,19,2.7,89,6,28
-71.95,-36.21,2020,11,19,3.9,87.2,7,6
-71.12,-35.26,2020,11,22,2.7,102.4,18,52
-71.74,-36.18,2020,11,24,2.6,77.8,14,20
-71.1,-37.08,2020,11,25,3.6,164,3,23
-71.63,-35.61,2020,11,25,4.5,84,10,58
-69.08,-38.43,2020,11,27,2.5,3,11,34
-68.58,-38.17,2020,11,29,4.1,8,1,9
-70.71,-35.79,2020,11,29,2.5,219.6,10,4
-71.09,-35.41,2020,12,1,2.5,105.6,21,23
-71.83,-39.1,2020,12,4,2.7,106.6,10,29
-71.16,-37.32,2020,12,7,3.4,163,1,46
-71.31,-35.49,2020,12,7,3,104.6,10,0
-70.85,-35.22,2020,12,9,3.2,112.6,1,27
-71.36,-36.89,2020,12,9,2.8,4.3,3,19
-71.24,-35.02,2020,12,9,3.1,89.6,17,22
-71.1,-35,2020,12,15,2.6,97.1,7,49
-70.07,-35.02,2020,12,16,3.3,148,16,31
-71.35,-36.88,2020,12,20,3.2,3.6,21,49
-69.35,-35.74,2020,12,21,3.2,237,23,59
-68.64,-38.2,2020,12,24,3,3,8,49
-71.9,-37.28,2020,12,28,3.2,0.1,0,5
-69.76,-39.39,2020,12,28,2.9,10,5,27
-72,-39.4,2020,12,29,4.6,103.1,19,29
